year,observation_count,log_return_mean,log_return_std,log_return_skewness,log_return_kurtosis
1999,252,0.0007483818400632354,0.01141830499003394,0.012718542538602773,-0.07137178915351994
2000,252,-0.00040671685767979676,0.015032781427246154,0.23880542125421905,1.3995034819550627
2001,248,-0.0005044057529813528,0.01393379622574794,-0.17614870823244988,1.1689253594311229
2002,252,-0.0009648843685615288,0.016616608809915154,0.40986347392613115,0.6611684006843017
2003,252,0.0009852304838323014,0.010401129050915552,-0.02191551577135515,0.6814093882333059
2004,252,0.0004033125330984609,0.007024012878810418,-0.2888382488135632,-0.08134302580471964
2005,252,0.00018711689762423723,0.006502712482222567,-0.14043806638028294,-0.024715296073794413
2006,251,0.0005859963381386513,0.006302628566582808,-0.06932411681131462,1.1980626642186762
2007,251,0.000199927286791578,0.010043942072277386,-0.55171716480624,1.7808678516089187
2008,253,-0.0018133869813919943,0.025927680531713685,0.26992506659885795,5.719103314827728
2009,252,0.0009281731031522437,0.016760958220373323,-0.03700939129543141,1.9710525309604385
2010,252,0.0005565484094417712,0.011299969996429472,-0.21528437782631343,2.0856049394144858
2011,252,7.449420396525993e-05,0.014549875002527383,-0.534920192385207,2.7908314875705518
2012,250,0.0005933460347535515,0.008017470210286043,0.023823920545462594,0.8424125463460066
2013,252,0.0011109555423111958,0.006977116677699151,-0.386204062408033,1.4993723949146736
2014,252,0.0005012451573453134,0.0070911271515147435,-0.4583481815429832,1.4642656161129395
2015,252,4.867863068005533e-05,0.009733091169429333,-0.28993448192255017,2.2160141237170157
2016,252,0.00044964245595894664,0.008238427864304216,-0.4471450536465821,2.4257038738282777
2017,251,0.0007826025334121576,0.004248760017374716,-0.4451972332566714,2.818579773669788
2018,251,-0.0001863209257968545,0.010759831363560058,-0.4820412085670645,3.266730248778311
2019,252,0.001078312376581329,0.007892451878154225,-0.6678789927620515,3.2888038258893664
2020,253,0.0006652994725503073,0.021196088761561777,-0.8904428853633176,7.8714983419765945
2021,252,0.0010021326315671226,0.008185408882863416,-0.36055547133506477,0.7034033035342517
2022,251,-0.0007991710470724124,0.015281883742685867,-0.008922532416386575,0.3441060857604672
2023,250,0.0009300235775073063,0.008230222947252435,-0.04248446089439387,-0.15726699609850092
2024,252,0.0008818842982892974,0.007927788144312768,-0.5667833984298999,1.8688843127363048
2025,250,0.0006525232803794339,0.012174198643761597,1.1049554869585332,20.920473498098183
